======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
[CHUYEN MUC NGAY !] - Time: 8000 ms
[CHUYEN MUC NGAY !] - Time: 8050 ms
[CHUYEN MUC NGAY !] - Time: 8100 ms
[CHUYEN MUC NGAY !] - Time: 8150 ms
[CHUYEN MUC NGAY !] - Time: 8200 ms
[CHUYEN MUC NGAY !] - Time: 8250 ms
[CHUYEN MUC NGAY !] - Time: 8300 ms
[CHUYEN MUC NGAY !] - Time: 8350 ms
[CHUYEN MUC NGAY !] - Time: 8400 ms
[CHUYEN MUC NGAY !] - Time: 8450 ms
[CHUYEN MUC NGAY !] - Time: 8500 ms
[CHUYEN MUC NGAY !] - Time: 8550 ms
[CHUYEN MUC NGAY !] - Time: 8600 ms
[CHUYEN MUC NGAY !] - Time: 8650 ms
[CHUYEN MUC NGAY !] - Time: 8700 ms
[CHUYEN MUC NGAY !] - Time: 8750 ms
[CHUYEN MUC NGAY !] - Time: 8800 ms
[CHUYEN MUC NGAY !] - Time: 8850 ms
[CHUYEN MUC NGAY !] - Time: 8900 ms
[CHUYEN MUC NGAY !] - Time: 8950 ms
[CHUYEN MUC NGAY !] - Time: 9000 ms
...
(Da xong buoc chuyen, tiep tuc giu yen tay cho den het 20s)
...
======================================
HOAN THANH! COPY DU LIEU BEN DUOI VA LUU THANH FILE .CSV:
Time(ms),Raw_Altitude(m),EMA_Altitude(m)
0,142.2372,142.2372
50,142.2795,142.2498
100,142.2677,142.2552
150,142.3167,142.2737
200,142.4370,142.3226
250,142.1449,142.2693
300,142.3733,142.3005
350,142.5496,142.3752
400,142.3692,142.3734
450,142.5343,142.4217
500,142.2983,142.3847
550,142.1709,142.3206
600,142.1000,142.2544
650,142.2188,142.2437
700,142.1255,142.2083
750,142.0659,142.1655
800,142.2295,142.1847
850,142.2346,142.1997
900,142.1255,142.1774
950,142.2606,142.2024
1000,142.2000,142.2017
1050,142.1398,142.1831
1100,142.1072,142.1603
1150,142.5221,142.2689
1200,142.5456,142.3519
1250,142.4696,142.3872
1300,142.3131,142.3650
1350,142.2417,142.3280
1400,142.2081,142.2920
1450,142.1775,142.2577
1500,142.0582,142.1978
1550,142.3024,142.2292
1600,142.0582,142.1779
1650,141.8406,142.0767
1700,142.3101,142.1467
1750,142.2372,142.1739
1800,142.2647,142.2011
1850,142.3432,142.2437
1900,142.2937,142.2587
1950,142.1148,142.2156
2000,142.2188,142.2165
2050,142.3432,142.2545
2100,142.3391,142.2799
2150,142.4436,142.3290
2200,142.0842,142.2556
2250,142.2270,142.2470
2300,142.3885,142.2895
2350,142.2677,142.2829
2400,142.2188,142.2637
2450,142.2682,142.2651
2500,142.2718,142.2671
2550,142.0659,142.2067
2600,141.9609,142.1330
2650,142.3580,142.2005
2700,142.2387,142.2119
2750,142.3687,142.2590
2800,142.3575,142.2885
2850,142.0057,142.2037
2900,142.2040,142.2038
2950,142.0236,142.1497
3000,142.0797,142.1287
3050,142.0057,142.0918
3100,142.1245,142.1016
