======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
[CHUYEN MUC NGAY !] - Time: 8000 ms
[CHUYEN MUC NGAY !] - Time: 8050 ms
[CHUYEN MUC NGAY !] - Time: 8100 ms
[CHUYEN MUC NGAY !] - Time: 8150 ms
[CHUYEN MUC NGAY !] - Time: 8200 ms
[CHUYEN MUC NGAY !] - Time: 8250 ms
[CHUYEN MUC NGAY !] - Time: 8300 ms
[CHUYEN MUC NGAY !] - Time: 8350 ms
[CHUYEN MUC NGAY !] - Time: 8400 ms
[CHUYEN MUC NGAY !] - Time: 8450 ms
[CHUYEN MUC NGAY !] - Time: 8500 ms
[CHUYEN MUC NGAY !] - Time: 8550 ms
[CHUYEN MUC NGAY !] - Time: 8600 ms
[CHUYEN MUC NGAY !] - Time: 8650 ms
[CHUYEN MUC NGAY !] - Time: 8700 ms
[CHUYEN MUC NGAY !] - Time: 8750 ms
[CHUYEN MUC NGAY !] - Time: 8800 ms
[CHUYEN MUC NGAY !] - Time: 8850 ms
[CHUYEN MUC NGAY !] - Time: 8900 ms
[CHUYEN MUC NGAY !] - Time: 8950 ms
[CHUYEN MUC NGAY !] - Time: 9000 ms
...
(Da xong buoc chuyen, tiep tuc giu yen tay cho den het 20s)
...
======================================
HOAN THANH! COPY DU LIEU BEN DUOI VA LUU THANH FILE .CSV:
Time(ms),Raw_Altitude(m),Kalman_Altitude(m)
0,128.6531,128.6531
50,128.7310,128.6944
100,128.6862,128.6911
150,128.7285,128.7040
200,128.5915,128.6679
250,128.6348,128.6577
300,128.6679,128.6608
350,128.6857,128.6683
400,128.7794,128.7017
450,128.5518,128.6567
500,128.3517,128.5653
550,128.6104,128.5788
600,128.3797,128.5192
650,128.3797,128.4774
700,128.6557,128.5308
750,128.5798,128.5455
800,128.7366,128.6027
850,128.7366,128.6428
900,128.5946,128.6284
950,128.4403,128.5721
1000,128.2886,128.4872
1050,128.6129,128.5248
1100,128.8379,128.6186
1150,128.7768,128.6660
1200,128.6226,128.6530
1250,128.7524,128.6827
1300,128.8456,128.7315
1350,128.5941,128.6903
1400,128.7794,128.7170
1450,128.7366,128.7229
1500,128.5849,128.6815
1550,128.5467,128.6412
1600,128.4887,128.5955
1650,128.5798,128.5908
1700,128.5773,128.5867
1750,128.3925,128.5286
1800,128.4704,128.5111
1850,128.5335,128.5178
1900,128.4704,128.5036
1950,128.7743,128.5847
2000,128.5640,128.5785
2050,128.6195,128.5908
2100,128.4098,128.5366
2150,128.4256,128.5033
2200,128.6679,128.5526
2250,128.4581,128.5243
2300,128.6882,128.5734
2350,128.5966,128.5803
2400,128.6735,128.6082
2450,128.7005,128.6358
2500,128.5798,128.6191
2550,128.5218,128.5899
2600,128.7193,128.6287
2650,128.5090,128.5928
2700,128.4861,128.5609
2750,128.4429,128.5256
2800,128.5824,128.5426
2850,128.5467,128.5438
2900,128.3680,128.4912
2950,128.4861,128.4897
3000,128.3492,128.4476
3050,128.3517,128.4189
3100,128.5218,128.4497
3150,128.6709,128.5159
3200,128.6104,128.5442
3250,128.7005,128.5910
3300,128.5946,128.5921
3350,128.5966,128.5934
3400,128.5798,128.5894
3450,128.5493,128.5773
3500,128.7193,128.6199
3550,128.4556,128.5707
3600,128.5004,128.5496
3650,128.5416,128.5472
3700,128.6404,128.5751
3750,128.3517,128.5082
3800,128.5824,128.5304
3850,128.5798,128.5452
3900,128.7768,128.6146
3950,128.4861,128.5761
4000,128.4403,128.5354
4050,128.6078,128.5571
4100,128.5167,128.5450
4150,128.6608,128.5797
4200,128.4403,128.5379
4250,128.3797,128.4906
4300,128.4128,128.4673
4350,128.5167,128.4821
4400,128.6104,128.5205
4450,128.5335,128.5244
4500,128.6557,128.5637
4550,128.5467,128.5586
4600,128.4887,128.5377
4650,128.5467,128.5404
4700,128.5065,128.5302
4750,128.2886,128.4579
4800,128.5309,128.4798
4850,128.1924,128.3937
4900,128.6826,128.4802
4950,128.6908,128.5433
5000,128.4739,128.5225
5050,128.5090,128.5185
5100,128.6429,128.5557
5150,128.8247,128.6363
5200,128.6104,128.6285
5250,128.7850,128.6754
5300,128.8099,128.7157
5350,128.8074,128.7431
5400,128.5824,128.6950
5450,128.6643,128.6858
5500,128.8221,128.7266
5550,128.7493,128.7334
5600,128.6709,128.7147
5650,128.8196,128.7461
5700,128.7519,128.7478
5750,128.6557,128.7202
5800,128.7285,128.7227
5850,128.7162,128.7208
5900,128.7437,128.7276
5950,128.5615,128.6779
6000,128.5615,128.6430
6050,128.6226,128.6369
6100,128.8710,128.7070
6150,128.7768,128.7279
6200,128.8501,128.7645
6250,128.6826,128.7400
6300,128.7137,128.7321
6350,128.6078,128.6949
6400,128.6531,128.6824
6450,128.7336,128.6977
6500,128.7005,128.6985
6550,128.5773,128.6622
6600,128.3797,128.5776
6650,128.7162,128.6191
6700,128.7285,128.6519
6750,128.5309,128.6157
6800,128.5467,128.5950
6850,128.4739,128.5588
6900,128.5493,128.5559
6950,128.4556,128.5259
7000,128.4530,128.5041
7050,128.8369,128.6037
7100,128.3645,128.5321
7150,128.4704,128.5136
7200,128.4429,128.4924
7250,128.4704,128.4858
7300,128.3441,128.4434
7350,128.3955,128.4290
7400,128.2280,128.3689
7450,128.3823,128.3729
7500,128.5004,128.4111
7550,128.5309,128.4470
7600,128.5396,128.4747
7650,128.2912,128.4197
7700,128.4581,128.4312
7750,128.5004,128.4520
7800,128.5640,128.4855
7850,128.3192,128.4357
7900,128.6226,128.4917
7950,128.6277,128.5324
8000,128.4581,128.5101
8050,128.6404,128.5491
8100,128.4286,128.5131
8150,128.6154,128.5437
8200,128.5798,128.5545
8250,128.4373,128.5194
8300,128.5798,128.5375
8350,128.4734,128.5183
8400,128.3375,128.4642
8450,128.4072,128.4471
8500,128.3772,128.4262
8550,128.4128,128.4222
8600,128.4403,128.4276
8650,128.5167,128.4543
8700,128.6882,128.5243
8750,128.7137,128.5810
8800,128.6857,128.6124
8850,128.8878,128.6949
8900,128.8730,128.7482
8950,129.1612,128.8719
9000,129.2243,128.9774
9050,129.3984,129.1035
9100,129.2218,129.1389
9150,129.1709,129.1485
9200,129.5700,129.2747
9250,129.1734,129.2444
9300,129.2340,129.2413
9350,129.1586,129.2165
9400,129.5094,129.3042
9450,129.1255,129.2507
9500,129.0706,129.1968
9550,129.0339,129.1480
9600,129.2523,129.1792
9650,129.4015,129.2458
9700,129.1866,129.2281
9750,129.3679,129.2699
9800,129.4035,129.3100
9850,129.5583,129.3843
9900,129.4763,129.4119
9950,129.2620,129.3670
10000,129.2671,129.3371
10050,129.4463,129.3698
10100,129.3134,129.3529
10150,129.3440,129.3502
10200,129.4371,129.3763
10250,129.1439,129.3067
10300,129.6163,129.3994
10350,129.2014,129.3401
10400,129.2900,129.3251
10450,129.0197,129.2336
10500,129.1561,129.2104
10550,129.1765,129.2003
10600,128.9464,129.1242
10650,129.2396,129.1588
10700,129.1159,129.1459
10750,129.1647,129.1516
10800,129.1464,129.1500
10850,129.1561,129.1518
10900,129.3730,129.2181
10950,129.6057,129.3341
11000,129.4824,129.3785
11050,129.3440,129.3682
11100,129.6642,129.4568
11150,129.2498,129.3948
11200,129.4346,129.4067
11250,129.1790,129.3385
11300,129.3440,129.3402
11350,129.6917,129.4454
11400,129.8006,129.5518
11450,129.3465,129.4903
11500,129.2243,129.4107
11550,129.4646,129.4268
11600,129.5583,129.4662
11650,129.4213,129.4528
11700,129.1765,129.3700
11750,129.3939,129.3772
11800,129.2095,129.3270
11850,129.0421,129.2417
11900,129.4794,129.3129
11950,129.4519,129.3545
12000,129.4672,129.3882
12050,129.4824,129.4164
12100,129.2549,129.3681
12150,129.1586,129.3053
12200,129.4697,129.3546
12250,129.4346,129.3785
12300,129.3557,129.3717
12350,129.4794,129.4039
12400,129.4794,129.4265
12450,129.3582,129.4061
12500,129.5558,129.4509
12550,129.4188,129.4413
12600,129.2859,129.3948
12650,129.4794,129.4201
12700,129.3160,129.3889
12750,129.3765,129.3852
12800,129.3730,129.3815
12850,129.4402,129.3991
12900,129.6342,129.4695
12950,129.4346,129.4590
13000,129.5863,129.4971
13050,129.7095,129.5607
13100,129.3302,129.4917
13150,129.2218,129.4109
13200,129.5400,129.4495
13250,129.3134,129.4088
13300,129.5700,129.4571
13350,129.3913,129.4374
13400,129.2218,129.3728
13450,129.4646,129.4003
13500,129.4035,129.4013
13550,129.1836,129.3361
13600,129.1709,129.2866
13650,129.2523,129.2764
13700,129.3440,129.2966
13750,129.4188,129.3332
13800,129.0706,129.2545
13850,128.9917,129.1758
13900,129.0828,129.1480
13950,129.1037,129.1347
14000,129.0706,129.1155
14050,129.1607,129.1290
14100,129.2671,129.1704
14150,129.2671,129.1993
14200,128.8827,129.1045
14250,129.0706,129.0944
14300,129.2976,129.1552
14350,129.3277,129.2069
14400,129.0675,129.1651
14450,129.1917,129.1731
14500,129.5461,129.2848
14550,129.3582,129.3068
14600,129.5863,129.3905
14650,129.1765,129.3264
14700,129.2854,129.3141
14750,129.5094,129.3726
14800,129.2859,129.3467
14850,129.4830,129.3875
14900,129.1912,129.3287
14950,129.2065,129.2921
15000,129.2065,129.2665
15050,129.3098,129.2795
15100,129.4213,129.3219
15150,129.2192,129.2912
15200,129.0950,129.2324
15250,129.1912,129.2201
15300,129.2829,129.2389
15350,129.1464,129.2112
15400,128.8827,129.1128
15450,129.2218,129.1455
15500,129.4071,129.2238
15550,129.1255,129.1944
15600,129.0049,129.1376
15650,128.9947,129.0948
15700,129.3404,129.1684
15750,129.4824,129.2624
15800,129.1912,129.2411
15850,129.1734,129.2208
15900,129.3465,129.2585
15950,129.6163,129.3656
16000,129.0645,129.2755
16050,129.5425,129.3554
16100,129.1108,129.2822
16150,129.2314,129.2670
16200,129.1948,129.2454
16250,128.9041,129.1432
16300,128.6882,129.0069
16350,129.3002,129.0948
16400,129.1586,129.1139
16450,129.0950,129.1082
16500,129.1439,129.1189
16550,129.2218,129.1497
16600,128.7310,129.0243
16650,129.0879,129.0434
16700,129.2243,129.0975
16750,129.2671,129.1483
16800,129.5700,129.2746
16850,129.5726,129.3638
16900,129.2854,129.3403
16950,129.1612,129.2867
17000,129.1978,129.2601
17050,129.1184,129.2177
17100,129.1184,129.1879
17150,129.3939,129.2496
17200,129.3002,129.2647
17250,129.5252,129.3427
17300,129.2854,129.3256
17350,129.1790,129.2817
17400,129.2549,129.2737
17450,129.4213,129.3179
17500,129.1607,129.2708
17550,129.1586,129.2372
17600,129.4366,129.2969
17650,129.5374,129.3690
17700,129.6011,129.4385
17750,129.4794,129.4507
17800,129.4672,129.4556
17850,129.3251,129.4166
17900,129.6316,129.4810
17950,129.2976,129.4261
18000,129.5043,129.4495
18050,129.6163,129.4995
18100,129.5094,129.5024
18150,129.3730,129.4637
18200,129.1556,129.3714
18250,129.0731,129.2821
18300,129.0527,129.2134
18350,129.8638,129.4082
18400,129.5507,129.4508
18450,129.3379,129.4170
18500,129.4035,129.4130
18550,129.3277,129.3874
18600,129.3730,129.3831
18650,129.4646,129.4075
18700,129.4071,129.4074
18750,129.4015,129.4056
18800,129.2396,129.3559
18850,129.4672,129.3892
18900,129.6245,129.4597
18950,129.3730,129.4337
19000,129.3465,129.4076
19050,129.3888,129.4020
19100,129.3302,129.3805
19150,129.2340,129.3366
19200,129.4850,129.3810
19250,129.3862,129.3826
