======================================
CHUAN BI TU THE (Giu tay on dinh)...
Mat 3 giay de bat dau lay mau...
DANG DO... (Hay giu yen tay)
[CHUYEN MUC NGAY !] - Time: 8000 ms
[CHUYEN MUC NGAY !] - Time: 8050 ms
[CHUYEN MUC NGAY !] - Time: 8100 ms
[CHUYEN MUC NGAY !] - Time: 8150 ms
[CHUYEN MUC NGAY !] - Time: 8200 ms
[CHUYEN MUC NGAY !] - Time: 8250 ms
[CHUYEN MUC NGAY !] - Time: 8300 ms
[CHUYEN MUC NGAY !] - Time: 8350 ms
[CHUYEN MUC NGAY !] - Time: 8400 ms
[CHUYEN MUC NGAY !] - Time: 8450 ms
[CHUYEN MUC NGAY !] - Time: 8500 ms
[CHUYEN MUC NGAY !] - Time: 8550 ms
[CHUYEN MUC NGAY !] - Time: 8600 ms
[CHUYEN MUC NGAY !] - Time: 8650 ms
[CHUYEN MUC NGAY !] - Time: 8700 ms
[CHUYEN MUC NGAY !] - Time: 8750 ms
[CHUYEN MUC NGAY !] - Time: 8800 ms
[CHUYEN MUC NGAY !] - Time: 8850 ms
[CHUYEN MUC NGAY !] - Time: 8900 ms
[CHUYEN MUC NGAY !] - Time: 8950 ms
[CHUYEN MUC NGAY !] - Time: 9000 ms
...
(Da xong buoc chuyen, tiep tuc giu yen tay cho den het 20s)
...
======================================
HOAN THANH! COPY DU LIEU BEN DUOI VA LUU THANH FILE .CSV:
Time(ms),Raw_Altitude(m),EMA_Altitude(m)
0,144.4823,144.4823
50,144.5869,144.5555
100,144.5680,144.5642
150,144.7067,144.6639
200,144.5904,144.6125
250,144.5537,144.5714
300,144.5420,144.5508
350,144.4788,144.5004
400,144.3921,144.4246
450,144.4339,144.4311
500,144.5833,144.5376
550,144.6919,144.6456
600,144.4624,144.5174
650,144.5450,144.5367
700,144.7306,144.6725
750,144.6164,144.6332
800,144.4935,144.5354
850,144.4038,144.4433
900,144.3095,144.3496
950,144.7368,144.6206
1000,144.4594,144.5078
1050,144.3243,144.3793
1100,144.3880,144.3854
1150,144.7485,144.6396
1200,144.5802,144.5980
1250,144.6434,144.6298
1300,144.5496,144.5737
1350,144.7026,144.6639
1400,144.5537,144.5868
1450,144.5455,144.5579
1500,144.6776,144.6417
1550,144.4293,144.4930
1600,144.6730,144.6190
1650,144.5537,144.5733
1700,144.2947,144.3783
1750,144.5379,144.4900
1800,144.6287,144.5871
1850,144.6812,144.6530
1900,144.3054,144.4097
1950,144.5644,144.5180
2000,144.5043,144.5084
2050,144.3809,144.4191
2100,144.4257,144.4238
2150,144.6511,144.5829
2200,144.6399,144.6228
2250,144.7791,144.7322
2300,144.5787,144.6247
2350,144.5945,144.6036
2400,144.4441,144.4919
2450,144.4981,144.4963
2500,144.5945,144.5650
2550,144.6210,144.6042
2600,144.7439,144.7020
2650,144.5761,144.6139
2700,144.4747,144.5164
2750,144.7857,144.7049
2800,144.7449,144.7329
2850,144.5430,144.6000
2900,144.4670,144.5069
2950,144.4558,144.4711
3000,144.4558,144.4604
3050,144.5007,144.4886
3100,144.7592,144.6780
3150,144.5614,144.5964
3200,144.4966,144.5265
3250,144.6363,144.6034
3300,144.3773,144.4451
3350,144.5150,144.4940
3400,144.5043,144.5012
3450,144.6960,144.6375
3500,144.6929,144.6763
3550,144.7673,144.7400
3600,144.4069,144.5068
3650,144.6511,144.6078
3700,144.4609,144.5050
3750,144.5659,144.5477
3800,144.6164,144.5958
3850,144.7765,144.7223
3900,144.5124,144.5754
3950,144.4375,144.4788
4000,144.5058,144.4977
4050,144.4823,144.4869
4100,144.3855,144.4159
4150,144.7673,144.6619
4200,144.6710,144.6683
4250,144.6710,144.6702
4300,144.6929,144.6861
4350,144.6557,144.6648
4400,144.4150,144.4900
4450,144.4150,144.4375
4500,144.5022,144.4828
4550,144.4716,144.4750
4600,144.4456,144.4544
4650,144.5354,144.5111
4700,144.5807,144.5598
4750,144.8953,144.7947
4800,144.6526,144.6952
4850,144.4008,144.4891
4900,144.6037,144.5693
4950,144.5624,144.5645
5000,144.5741,144.5712
5050,144.6302,144.6125
5100,144.4879,144.5253
5150,144.7240,144.6644
5200,144.6037,144.6219
5250,144.7240,144.6934
5300,144.5884,144.6199
5350,144.8438,144.7766
5400,144.7092,144.7294
5450,144.3799,144.4847
5500,144.6751,144.6180
5550,144.5287,144.5555
5600,144.4798,144.5025
5650,144.5445,144.5319
5700,144.6526,144.6164
5750,144.7199,144.6889
5800,144.5405,144.5850
5850,144.6154,144.6063
5900,144.6139,144.6116
5950,144.5175,144.5457
6000,144.6791,144.6391
6050,144.6154,144.6225
6100,144.6751,144.6593
6150,144.5690,144.5961
6200,144.4951,144.5254
6250,144.4839,144.4963
6300,144.4905,144.4922
6350,144.4349,144.4521
6400,144.6139,144.5654
6450,144.5246,144.5369
6500,144.4767,144.4948
6550,144.5848,144.5578
6600,144.4905,144.5107
6650,144.5996,144.5729
6700,144.6103,144.5991
6750,144.5364,144.5552
6800,144.7199,144.6705
6850,144.6858,144.6812
6900,144.3595,144.4560
6950,144.5053,144.4905
7000,144.2809,144.3438
7050,144.2886,144.3052
7100,144.2769,144.2854
